LaunchSite,NameOfSatellite,CountryOrgOfUNRegistry,CountryOfOperatoOwner,Operator.Owner,Users,Purpose,ClassOfOrbit,Perigee,Apogee,MeanDistance,Radius,LaunchMass,DateOfLaunch,Contractor,CountryOfContractor,LaunchVehicle,LaunchVehicleCategory,lat,lon
Taiyuan Launch Center,HJ-1B (Huan Jing 1B),China,India,National Remote Sensing Center (NRSCC),Government,Earth Observation,LEO,621,673,647,12.65,470,05-Sep-08,Chinese Academy of Space Technology (CAST)/DFH Satellite,China,Long March 2C,Long March,37.5,112.6
Plesetsk Cosmodrome,SWARM-C,ESA,Chile,European Space Agency (ESA),Government,Earth Observation,LEO,486,496,491,12.49,468,22-Nov-13,Astrium,France,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,SWARM-B,ESA,Canada,European Space Agency (ESA),Government,Earth Observation,LEO,473,476,475,12.47,468,22-Nov-13,Astrium,France,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,SWARM-A,ESA,Canada,European Space Agency (ESA),Government,Earth Observation,LEO,473,476,475,12.47,468,22-Nov-13,Astrium,France,Rokot,Other,62.8,40.1
Vandenberg AFB,OCO 2__(Orbiting Carbon Observatory),USA,Japan,National Aeronautics and Space Administration (NASA),Government,Earth Observation,LEO,701,704,703,12.7,454,02-Jul-14,Orbital Sciences Corp.,USA,Delta 2,Delta,34.4,-120.35
Cape Canaveral,Globalstar M027 (Globalstar 34),USA,Russia,Globalstar ,Commercial,Communications,LEO,1412,1415,1414,13.41,450,17-Aug-99,Space Systems/Loral,USA,Delta 7420,Delta,28.5,-81
Cape Canaveral,Globalstar M028 (Globalstar 26),USA,Russia,Globalstar,Commercial,Communications,LEO,1413,1414,1414,13.41,450,25-Jul-99,Space Systems/Loral,USA,Delta 7420,Delta,28.5,-81
Cape Canaveral,Globalstar M063 (Globalstar 49),USA,Russia,Globalstar  ,Commercial,Communications,LEO,1413,1414,1414,13.41,450,08-Feb-00,Space Systems/Loral,USA,Delta 7420,Delta,28.5,-81
Cape Canaveral,Globalstar M026 (Globalstar 28),USA,Russia/USA,Globalstar ,Commercial,Communications,LEO,1412,1416,1414,13.41,450,25-Jul-99,Space Systems/Loral,USA,Delta 7420,Delta,28.5,-81
Cape Canaveral,Globalstar M006 (Globalstar 6),USA,Russia/USA,Globalstar ,Commercial,Communications,LEO,1413,1415,1414,13.41,450,24-Apr-98,Space Systems/Loral,USA,Delta 7420,Delta,28.5,-81
Cape Canaveral,Globalstar M004 (Globalstar 4),USA,Russia,Globalstar ,Commercial,Communications,LEO,1407,1412,1410,13.41,450,14-Feb-98,Space Systems/Loral,USA,Delta 7420,Delta,28.5,-81
Baikonur Cosmodrome,Globalstar M031 (Globalstar 44),USA,Saudi Arabia,Globalstar ,Commercial,Communications,LEO,1477,1478,1478,13.48,450,18-Oct-99,Space Systems/Loral,USA,Soyuz U,Soyuz,45.6,63.4
Baikonur Cosmodrome,Globalstar M040 (Globalstar 10),USA,Saudi Arabia,Globalstar ,Commercial,Communications,LEO,1415,1416,1416,13.42,450,09-Feb-99,Space Systems/Loral,USA,Soyuz U,Soyuz,45.6,63.4
Baikonur Cosmodrome,Globalstar M039 (Globalstar 45),USA,Russia,Globalstar ,Commercial,Communications,LEO,1411,1416,1414,13.41,450,22-Nov-99,Space Systems/Loral,USA,Soyuz U,Soyuz,45.6,63.4
Baikonur Cosmodrome,Globalstar M067 (Globalstar 67),USA,Russia,Globalstar,Commercial,Communications,LEO,1413,1414,1414,13.41,450,20-Oct-07,Space Systems/Loral/Alenia Aerospazio,Italy/USA,Soyuz-Fregat,Soyuz,45.6,63.4
Baikonur Cosmodrome,Globalstar M056 (Globalstar 43),USA,Russia,Globalstar ,Commercial,Communications,LEO,1413,1414,1414,13.41,450,18-Oct-99,Space Systems/Loral,USA,Soyuz U,Soyuz,45.6,63.4
Baikonur Cosmodrome,Globalstar M065 (Globalstar 65),USA,Russia,Globalstar,Commercial,Communications,LEO,1411,1416,1414,13.41,450,29-May-07,Space Systems/Loral/Alenia Aerospazio,Italy/USA,Soyuz-Fregat ,Soyuz,45.6,63.4
Baikonur Cosmodrome,Globalstar M066 (Globalstar 66),USA,Russia,Globalstar,Commercial,Communications,LEO,1412,1415,1414,13.41,450,20-Oct-07,Space Systems/Loral/Alenia Aerospazio,Italy/USA,Soyuz-Fregat,Soyuz,45.6,63.4
Baikonur Cosmodrome,Globalstar M070 (Globalstar 70),USA,Russia,Globalstar,Commercial,Communications,LEO,1412,1415,1414,13.41,450,20-Oct-07,Space Systems/Loral/Alenia Aerospazio,Italy/USA,Soyuz-Fregat,Soyuz,45.6,63.4
Baikonur Cosmodrome,Globalstar M069 (Globalstar 69),USA,Russia,Globalstar,Commercial,Communications,LEO,1411,1416,1414,13.41,450,29-May-07,Space Systems/Loral/Alenia Aerospazio,Italy/USA,Soyuz-Fregat ,Soyuz,45.6,63.4
Baikonur Cosmodrome,Globalstar M071 (Globalstar 71),USA,Russia,Globalstar,Commercial,Communications,LEO,1412,1415,1414,13.41,450,29-May-07,Space Systems/Loral/Alenia Aerospazio,Italy/USA,Soyuz-Fregat,Soyuz,45.6,63.4
Baikonur Cosmodrome,Globalstar M023 (Globalstar 9),USA,Russia,Globalstar ,Commercial,Communications,LEO,1406,1422,1414,13.41,450,09-Feb-99,Space Systems/Loral,USA,Soyuz U,Soyuz,45.6,63.4
Baikonur Cosmodrome,Globalstar M037 (Globalstar 16),USA,Russia,Globalstar ,Commercial,Communications,LEO,1411,1417,1414,13.41,450,15-Mar-99,Space Systems/Loral,USA,Soyuz U,Soyuz,45.6,63.4
Baikonur Cosmodrome,Globalstar M059 (Globalstar 42),USA,Russia,Globalstar ,Commercial,Communications,LEO,1413,1415,1414,13.41,450,18-Oct-99,Space Systems/Loral,USA,Soyuz U,Soyuz,45.6,63.4
Baikonur Cosmodrome,Globalstar M072 (Globalstar 72),USA,Russia,Globalstar,Commercial,Communications,LEO,1412,1416,1414,13.41,450,29-May-07,Space Systems/Loral/Alenia Aerospazio,Italy/USA,Soyuz-Fregat,Soyuz,45.6,63.4
Baikonur Cosmodrome,Globalstar M068 (Globalstar 68),USA,Russia,Globalstar,Commercial,Communications,LEO,1411,1414,1413,13.41,450,20-Oct-07,Space Systems/Loral/Alenia Aerospazio,Italy/USA,Soyuz-Fregat,Soyuz,45.6,63.4
Baikonur Cosmodrome,Globalstar M029 (Globalstar 47),USA,Russia,Globalstar ,Commercial,Communications,LEO,900,1413,1157,13.16,450,22-Nov-99,Space Systems/Loral,USA,Soyuz U,Soyuz,45.6,63.4
Satish Dhawan Space Center,DMC 3-1 (Disaster Monitoring Constellation),United Kingdom,India,Surrey Satellite Technology Ltd.,Commercial,Earth Observation,LEO,636,663,650,12.65,447,10-Jul-15,Surrey Satellite Technologies Ltd.,UK,PSLV,PSLV,13.9,80.4
Satish Dhawan Space Center,DMC 3-2 (Disaster Monitoring Constellation),United Kingdom,India,Surrey Satellite Technology Ltd.,Commercial,Earth Observation,LEO,636,663,650,12.65,447,10-Jul-15,Surrey Satellite Technologies Ltd.,UK,PSLV,PSLV,13.9,80.4
Satish Dhawan Space Center,DMC 3-3 (Disaster Monitoring Constellation),United Kingdom,India,Surrey Satellite Technology Ltd.,Commercial,Earth Observation,LEO,636,661,649,12.65,447,10-Jul-15,Surrey Satellite Technologies Ltd.,UK,PSLV,PSLV,13.9,80.4
Jiuquan Satellite Launch Center,G_kt_rk 2,NR,Italy,Turkish Ministry of National Defense,Military,Earth Observation,LEO,669,690,680,12.68,409,18-Dec-12,T_B_TAK Space Technologies Research Institute/Turkish Aerospace Industries,Turkey,Long March 2D,Long March,40.96,99.9
Satish Dhawan Space Center,SARAL (Satellite with ARGOS and ALTIKA),NR,Multinational,Indian Space Research Organization (ISRO)/Centre National d'Etudes Spatiales (CNES),Government,Earth Observation,LEO,782,785,784,12.78,407,25-Feb-13,Indian Space Research Organization (ISRO),India,PSLV,PSLV,13.9,80.4
Jiuquan Satellite Launch Center,Jilin-1,NR (6/16),India,Changchun Institute of Optics,Commercial,Earth Observation,LEO,638,662,650,12.65,400,07-Oct-15,Chang Guang Satellite Technology Co. Ltd.,China,Long March 2D,Long March,40.96,99.9
Satish Dhawan Space Center,TeLEOS 1,NR (1/16),China,AgilSpace,Commercial,Earth Observation,LEO,535,550,543,12.54,400,16-Dec-15,ST Electronics Ltd.,Singapore,PSLV C29,PSLV,13.9,80.4
Baikonur Cosmodrome,BKA 2 (BelKA 2),Belarus,China,National Academy of Sciences,Government,Earth Observation,LEO,503,507,505,12.51,400,22-Jul-12,NPO VNIIEM,Russia,Soyuz-Fregat,Soyuz,45.6,63.4
Baikonur Cosmodrome,Canopus-B_(Kanopus Vulcan 1)_,Russia,China,Scientific Production Corporation (joint stock creation of Russian Space Agency),Government,Earth Observation,LEO,501,505,503,12.5,400,22-Jul-12,All-Russia Research Institute of Electromechanics (NPP VNIIEM),Russia,Soyuz-Fregat,Soyuz,45.6,63.4
Svobodny Cosmodrome,EROS B1 (Earth Resources Observation Satellite),NR,China,"ImageSat International, NV/Ministry of Defense",Commercial/Military,Earth Observation,LEO,508,514,511,12.51,350,25-Apr-06,Israel Aircraft Industries (IAI),Israel,Start 1,Other,51.4,128.3
Vandenberg AFB,"Rapid Pathfinder Program (NROL-66, USA 225)",USA,Russia,National Reconnaissance Office (NRO),Military,Technology Development,LEO,1199,1202,1201,13.2,350,06-Feb-11,National Reconnaissance Laboratory,USA,Minotaur 4,Other,34.4,-120.35
Uchinoura Space Center,"Hisaki (Sprint A, Spectroscopic Planet Observatory for Recognition of Interaction of Atmosphere)",Japan,Russia,Japan Aerospace Exploration Agency (JAXA),Government,Space Science,Elliptical,952,1155,1054,13.05,348,14-Sep-13,NEC Corporation,Japan,Epsilon,Other,31.25,131.07
Cape Canaveral,SORCE (SOlar Radiation and Climate Experiment),USA,China,"NASA Earth Science Office/Laboratory for Atmospheric and Space Physics, Univ. of Colorado",Civil/Government,Space Science,LEO,600,633,617,12.62,315,25-Jan-03,Orbital Sciences Corp.,USA,Pegasus XL,Other,28.5,-81
Dombarovsky Air Base,Deimos 2 ,NR,China,Deimos Imaging/DMC International Imaging (DMCII),Government,Earth Observation,LEO,597,619,608,12.61,310,19-Jun-14,Satrec Initiative,South Korea,Dnepr,Dnepr,50.75,59.53
Dombarovsky Air Base,NigeriaSat-2,Nigeria,Japan,National Space Research and Development Agency (NASRDA),Government,Earth Observation,LEO,691,705,698,12.7,300,17-Aug-11,Surrey Satellite Technology Ltd. (SSTL),United Kingdom,Dnepr 1,Dnepr,50.75,59.53
Dombarovsky Air Base,DubaiSat-2,United Arab Emirates,China,Emirates Institution for Advanced Science & Technology (EIAST),Government,Earth Observation,LEO,585,603,594,12.59,300,21-Nov-13,Satrec Initiative,South Korea,Dnepr,Dnepr,50.75,59.53
Jiuquan Satellite Launch Center,"Shiyan 3 (SY3, Experimental Satellite 3)",China,Norway,Chinese Academy of Space Technology (CAST),Government,Earth Observation,LEO,785,803,794,12.79,300,05-Nov-08,Harbin Institute of Technology,China,Long March 2D,Long March,40.96,99.9
Jiuquan Satellite Launch Center,"Shiyan 4 (SY4, Experimental Satellite 4)",China,Norway,Chinese Academy of Space Technology (CAST),Government,Earth Observation,LEO,784,802,793,12.79,300,20-Nov-11,CAST/DFH Satellite/HIT,China,Long March 2D,Long March,40.96,99.9
Satish Dhawan Space Center,"TecSAR (Ofeq 8, Polaris)",NR,China,Defense Ministry,Military,Earth Observation,LEO,405,580,493,12.49,300,21-Jan-08,Israel Aerospace Industries (IAI),Israel,PSLV C10,PSLV,13.9,80.4
Guiana Space Center,MICROSCOPE (MICRO-Satellite _ tra”n_e Compens_e pour l'Observation du Principe d'Equivalence),NR (6/16),Japan,Centre National d'Etudes Spatiales (CNES),Government,Space Science,LEO,711,715,713,12.71,300,25-Apr-16,CNES,France,Soyuz 2.1a,Soyuz,5.2079,-52.7724
Cape Canaveral,"HESSI (RHESSI, Reuven Ramaty High Energy Solar Spectroscopic Imager)",USA,China,"Space Sciences Laboratory, UC Berkeley/NASA",Civil/Government,Space Science,LEO,535,551,543,12.54,293,05-Feb-02,"Spectrum Astro, Inc.",USA,Pegasus,Other,28.5,-81
Plesetsk Cosmodrome,"Rodnik (Cosmos 2451, Strela 3M)",Russia,Spain,Ministry of Defense,Military,Communications,LEO,1498,1509,1504,13.5,280,06-Jul-09,OAO_ISS,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,Gonets M-11 (Gonets M21),Russia,Spain,Gonets Satcom,Commercial/Government,Communications,LEO,1497,1508,1503,13.5,280,31-Mar-15,M.F._Reshetnev Information Satellite Systems,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,"Rodnik (Cosmos 2509, Strela 3M)",Russia,Spain,Ministry of Defense,Military,Communications,LEO,1498,1508,1503,13.5,280,23-Sep-15,OAS ISS,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,"Rodnik (Cosmos 2507, Strela 3M)",Russia,Spain,Ministry of Defense,Military,Communications,LEO,1497,1506,1502,13.5,280,23-Sep-15,OAS ISS,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,"Rodnik (Cosmos 2453, Strela 3M)",Russia,Spain,Ministry of Defense,Military,Communications,LEO,1495,1506,1501,13.5,280,06-Jul-09,OAO_ISS,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,"Rodnik (Cosmos 2508, Strela 3M)",Russia,Spain,Ministry of Defense,Military,Communications,LEO,1496,1504,1500,13.5,280,23-Sep-15,OAS ISS,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,Gonets M-12 (Gonets M22),Russia,Spain,Gonets Satcom,Commercial/Government,Communications,LEO,1494,1506,1500,13.5,280,31-Mar-15,M.F._Reshetnev Information Satellite Systems,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,"Rodnik (Cosmos 2481, Strela 3M)",Russia,Spain,Ministry of Defense,Military,Communications,LEO,1481,1512,1497,13.5,280,28-Jul-12,OAO_ISS,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,"Rodnik (Cosmos 2490, Strela 3M)",Russia,Spain,Ministry of Defense,Military,Communications,LEO,1482,1511,1497,13.5,280,25-Dec-13,OAO ISS,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,"Rodnik (Cosmos 2437, Strela 3M)",Russia,South Korea,Ministry of Defense,Military,Communications,LEO,1480,1511,1496,13.5,280,23-May-08,OAO_ISS,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,"Rodnik (Cosmos 2496, Strela 3M)",Russia,South Korea,Ministry of Defense,Military,Communications,LEO,1480,1511,1496,13.5,280,23-May-14,OAS ISS,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,Gonets M-19,Russia,South Korea,Gonets Satcom,Commercial/Government,Communications,LEO,1480,1512,1496,13.5,280,03-Jul-14,M.F._Reshetnev Information Satellite Systems,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,Gonets M-18,Russia,South Korea,Gonets Satcom,Commercial/Government,Communications,LEO,1479,1510,1495,13.49,280,03-Jul-14,M.F._Reshetnev Information Satellite Systems,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,Gonets M-20,Russia,Singapore,Gonets Satcom,Commercial/Government,Communications,LEO,1478,1509,1494,13.49,280,03-Jul-14,M.F._Reshetnev Information Satellite Systems,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,"Rodnik (Cosmos 2488, Strela 3M)",Russia,Singapore,Ministry of Defense,Military,Communications,LEO,1478,1509,1494,13.49,280,25-Dec-13,OAO ISS,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,"Rodnik (Cosmos 2497, Strela 3M)",Russia,Singapore,Ministry of Defense,Military,Communications,LEO,1478,1510,1494,13.49,280,23-May-14,OAS ISS,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,"Rodnik (Cosmos 2439, Strela 3M)",Russia,Singapore/Taiwan,Ministry of Defense,Military,Communications,LEO,1478,1510,1494,13.49,280,23-May-08,OAO_ISS,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,"Rodnik (Cosmos 2498, Strela 3M)",Russia,Singapore,Ministry of Defense,Military,Communications,LEO,1477,1509,1493,13.49,280,23-May-14,OAS ISS,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,"Rodnik (Cosmos 2438, Strela 3M)",Russia,Singapore,Ministry of Defense,Military,Communications,LEO,1477,1509,1493,13.49,280,23-May-08,OAO_ISS,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,"Rodnik (Cosmos 2489, Strela 3M)",Russia,Singapore,Ministry of Defense,Military,Communications,LEO,1477,1507,1492,13.49,280,25-Dec-13,OAO ISS,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,Gonets M-13 (Gonets M23),Russia,Russia,Gonets Satcom,Commercial/Government,Communications,LEO,1171,1504,1338,13.34,280,31-Mar-15,M.F._Reshetnev Information Satellite Systems,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,Gonets M-05,Russia,Spain,Gonets Satcom,Commercial/Government,Communications,LEO,1497,1510,1504,13.5,270,08-Sep-10,M.F._Reshetnev Information Satellite Systems,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,Gonets M-17,Russia,Spain,Gonets Satcom,Commercial/Government,Communications,LEO,1494,1509,1502,13.5,270,11-Sep-13,M.F._Reshetnev Information Satellite Systems,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,Gonets M-16,Russia,Spain,Gonets Satcom,Commercial/Government,Communications,LEO,1493,1508,1501,13.5,270,11-Sep-13,M.F._Reshetnev Information Satellite Systems,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,Gonets M-04,Russia,South Korea,Gonets Satcom,Commercial/Government,Communications,LEO,1480,1511,1496,13.5,270,28-Jul-12,M.F._Reshetnev Information Satellite Systems,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,Gonets M-14,Russia,South Korea,Gonets Satcom,Commercial/Government,Communications,LEO,1482,1507,1495,13.49,270,11-Sep-13,M.F._Reshetnev Information Satellite Systems,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,Gonets M-03,Russia,Singapore,Gonets Satcom,Commercial/Government,Communications,LEO,1478,1510,1494,13.49,270,28-Jul-12,M.F._Reshetnev Information Satellite Systems,Russia,Rokot,Other,62.8,40.1
Baikonur Cosmodrome,Relek (ICA-FC1),Russia,Japan,Skobeltsyn Institute of Nuclear Physics,Government,Earth Observation,LEO,623,819,721,12.72,253,08-Jul-14,NPO Lavochkin,Russia,Soyuz-2.1b,Soyuz,45.6,63.4
Plesetsk Cosmodrome,"Rodnik (Cosmos 2483, Strela 3M)",Russia,South Africa,Ministry of Defense,Military,Communications,LEO,1473,1516,1495,13.49,250,15-Jan-13,OAO ISS,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,"Rodnik (Cosmos 2484, Strela 3M)",Russia,South Africa,Ministry of Defense,Military,Communications,LEO,1475,1514,1495,13.49,250,15-Jan-13,OAO ISS,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,"Rodnik (Cosmos 2482, Strela 3M)",Russia,South Korea,Ministry of Defense,Military,Communications,LEO,1473,1516,1495,13.49,250,15-Jan-13,OAO ISS,Russia,Rokot,Other,62.8,40.1
Svobodny Cosmodrome,Odin ,Sweden,China,Swedish National Space Board,Government,Earth Observation,LEO,569,573,571,12.57,250,20-Feb-01,Swedish Space Corporation/Canadian Space Agency/National Technology Agency of Finland/Centre National d'Etudes Spatiales,Canada/Finland/France/Sweden,Start 1,Other,51.4,128.3
Plesetsk Cosmodrome,Gonets D1-14 ,Russia,Russia,Gonets Satcom,Commercial/Government,Communications,LEO,1407,1413,1410,13.41,240,19-Feb-96,NPO PM,Russia,Tsyklon 3,Other,62.8,40.1
Svobodny Cosmodrome,EROS A1 (Earth Resources Observation Satellite),NR,Canada,"ImageSat International, NV/Ministry of Defense",Commercial/Military,Earth Observation,LEO,466,477,472,12.47,240,05-Dec-00,Israel Aircraft Industries (IAI),Israel,Start 1,Other,51.4,128.3
Vandenberg AFB,IRIS (Interface Region Imaging Spectrometer),USA,Germany,National Aeronautics and Space Administration (NASA),Government,Space Science,LEO,620,664,642,12.64,236,28-Jun-13,Lockheed Martin Space Systems Advanced Technology Center (ATC),USA,L1011,Other,34.4,-120.35
Satish Dhawan Space Center,Astrosat,NR,Germany,Telemetry Tracking and Command Network (ISTRAC) Centre,Government,Space Science,LEO,632,649,641,12.64,230,28-Sep-15,Indian Space Research Organization (ISRO),India,PSLV C-30,PSLV,13.9,80.4
Plesetsk Cosmodrome,"Rodnik (Cosmos 2468, Strela 3M)",Russia,South Korea,Ministry of Defense,Military,Communications,LEO,1484,1505,1495,13.49,225,08-Sep-10,OAO ISS,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,"Rodnik (Cosmos 2467, Strela 3M)",Russia,South Korea,Ministry of Defense,Military,Communications,LEO,1493,1496,1495,13.49,225,08-Sep-10,OAO ISS,Russia,Rokot,Other,62.8,40.1
Plesetsk Cosmodrome,Strela 3 (Cosmos 2409),Russia,Saudi Arabia,Ministry of Defense,Military,Communications,LEO,1474,1495,1485,13.48,225,23-Sep-04,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),Russia,Kosmos 3M,Other,62.8,40.1
Plesetsk Cosmodrome,Strela 3 (Cosmos 2400),Russia,Saudi Arabia,Ministry of Defense,Military,Communications,LEO,1467,1503,1485,13.49,225,19-Aug-03,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),Russia,Kosmos 3M,Other,62.8,40.1
Plesetsk Cosmodrome,Strela 3 (Cosmos 2401),Russia,Saudi Arabia,Ministry of Defense,Military,Communications,LEO,1465,1502,1484,13.48,225,19-Aug-03,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),Russia,Kosmos 3M,Other,62.8,40.1
Plesetsk Cosmodrome,Strela 3 (Cosmos 2408),Russia,Saudi Arabia,Ministry of Defense,Military,Communications,LEO,1471,1495,1483,13.48,225,23-Sep-04,NPO/PM - Scientific Research Institute for Precision Instruments (NII-TP),Russia,Kosmos 3M,Other,62.8,40.1
Plesetsk Cosmodrome,"Rodnik (Cosmos 2416, Strela 3M)",Russia,Saudi Arabia,Ministry of Defense,Military,Communications,LEO,1436,1448,1442,13.44,225,21-Dec-05,NPO-PM,Russia,Kosmos 3M,Other,62.8,40.1
Vandenberg AFB,AIM (Aeronomy of Ice in Mesosphere),USA,China,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,LEO,544,552,548,12.55,215,25-Apr-07,Orbital Sciences Corp.,USA,Pegasus XL,Other,34.4,-120.35
Jiuquan Satellite Launch Center,"Shiyan 5 (SY5, Experimental Satellite 5)",China,Luxembourg,Chinese Academy of Space Technology (CAST),Government,Earth Observation,LEO,739,755,747,12.75,204,25-Nov-13,Chinese Academy of Space Technology (CAST),China,Long March 2D,Long March,40.96,99.9
Xichang Satellite Launch Center,"Shiyan 1 (SY 1, Tansuo 1, Experimental Satellite 1)",China,China,Chinese Academy of Space Technology (CAST),Government,Earth Observation,LEO,586,601,594,12.59,204,18-Apr-04,Chinese Research Institute of Space Technology/Changchun Photomechanical Institute (CAS),China,Long March 2C,Long March,28.25,102
Baikonur Cosmodrome,DubaiSat-1,United Arab Emirates,Israel,Emirates Institution for Advanced Science & Technology (EIAST),Government,Earth Observation,LEO,662,680,671,12.67,200,29-Jul-09,Satrec Initiative,South Korea,Dnepr,Dnepr,45.6,63.4
Baikonur Cosmodrome,Saudisat-3 ,Saudi Arabia,Iraq,Riyadh Space Research Institute,Government,Earth Observation,LEO,656,677,667,12.67,200,17-Apr-07,King Abdulaziz City for Science and Technology,Saudi Arabia,Dnepr,Dnepr,45.6,63.4
Taiyuan Launch Center,Chuangxin-3,China,Israel,Chinese Academy of Sciences,Government,Technology Development,LEO,665,672,669,12.67,200,19-Jul-13,China Academy of Sciences,China,Long March 2C,Long March,37.5,112.6
Dombarovsky Air Base,KazEOSat-2 (kazcosmos Earth Observation Satellite),NR,ESA,Kazcosmos,Government,Earth Observation,LEO,612,636,624,12.62,185,19-Jun-14,Surrey Satellite Technology Ltd. (SSTL),UK,Dnepr,Dnepr,50.75,59.53
Baikonur Cosmodrome,RapidEye-4 (RapidEye E),Germany,ESA,RapidEye AG,Commercial,Earth Observation,LEO,621,638,630,12.63,175,29-Aug-08,"Surrey Satellite Technology, Ltd.",United Kingdom,Dnepr,Dnepr,45.6,63.4
Baikonur Cosmodrome,RapidEye-5 (RapidEye B),Germany,ESA,RapidEye AG,Commercial,Earth Observation,LEO,617,642,630,12.63,175,29-Aug-08,"Surrey Satellite Technology, Ltd.",United Kingdom,Dnepr,Dnepr,45.6,63.4
Baikonur Cosmodrome,RapidEye-1 (RapidEye-C),Germany,ESA,RapidEye AG,Commercial,Earth Observation,LEO,613,646,630,12.63,175,29-Aug-08,"Surrey Satellite Technology, Ltd.",United Kingdom,Dnepr,Dnepr,45.6,63.4
Baikonur Cosmodrome,RapidEye-2 (RapidEye A),Germany,ESA,RapidEye AG,Commercial,Earth Observation,LEO,621,638,630,12.63,175,29-Aug-08,"Surrey Satellite Technology, Ltd.",United Kingdom,Dnepr,Dnepr,45.6,63.4
Baikonur Cosmodrome,RapidEye-3 (RapidEye D),Germany,ESA,RapidEye AG,Commercial,Earth Observation,LEO,621,637,629,12.63,175,29-Aug-08,"Surrey Satellite Technology, Ltd.",United Kingdom,Dnepr,Dnepr,45.6,63.4
Cape Canaveral,ORBCOMM OG2 FM-103,USA,Japan,ORBCOMM Inc.,Commercial,Communications,LEO,620,741,681,12.68,172,14-Jul-14,Boeing Corp./Sierra Nevada Corp.,USA,Falcon 9,Falcon,28.5,-81
Cape Canaveral,ORBCOMM OG2 FM-109,USA,Italy,ORBCOMM Inc.,Commercial,Communications,LEO,620,739,680,12.68,172,14-Jul-14,Boeing Corp./Sierra Nevada Corp.,USA,Falcon 9,Falcon,28.5,-81
Cape Canaveral,ORBCOMM OG2 FM-107,USA,Italy,ORBCOMM Inc.,Commercial,Communications,LEO,620,739,680,12.68,172,14-Jul-14,Boeing Corp./Sierra Nevada Corp.,USA,Falcon 9,Falcon,28.5,-81
Cape Canaveral,ORBCOMM OG2 FM-111,USA,Italy,ORBCOMM Inc.,Commercial,Communications,LEO,619,740,680,12.68,172,14-Jul-14,Boeing Corp./Sierra Nevada Corp.,USA,Falcon 9,Falcon,28.5,-81
Cape Canaveral,ORBCOMM OG2 FM-104,USA,Italy,ORBCOMM Inc.,Commercial,Communications,LEO,619,741,680,12.68,172,14-Jul-14,Boeing Corp./Sierra Nevada Corp.,USA,Falcon 9,Falcon,28.5,-81
Cape Canaveral,ORBCOMM OG2 FM-106,USA,Italy/United Kingdom/USA,ORBCOMM Inc.,Commercial,Communications,LEO,620,740,680,12.68,172,14-Jul-14,Boeing Corp./Sierra Nevada Corp.,USA,Falcon 9,Falcon,28.5,-81
Cape Canaveral,ORBCOMM OG2 FM-110,NR (1/16),France,ORBCOMM Inc.,Commercial,Communications,LEO,615,658,637,12.64,172,22-Dec-15,Boeing Corp./Sierra Nevada Corp.,USA,Falcon 9,Falcon,28.5,-81
Cape Canaveral,ORBCOMM OG2 FM-118,NR (1/16),France,ORBCOMM Inc.,Commercial,Communications,LEO,615,658,637,12.64,172,22-Dec-15,Boeing Corp./Sierra Nevada Corp.,USA,Falcon 9,Falcon,28.5,-81
