LaunchSite,NameOfSatellite,CountryOrgOfUNRegistry,CountryOfOperatoOwner,Operator.Owner,Users,Purpose,ClassOfOrbit,Perigee,Apogee,MeanDistance,Radius,LaunchMass,DateOfLaunch,Contractor,CountryOfContractor,LaunchVehicle,LaunchVehicleCategory,lat,lon
Baikonur Cosmodrome,DirecTV-10,USA,USA,"DirecTV, Inc.",Commercial,Communications,GEO,35785,35788,35787,47.79,5900,07-Jul-07,Boeing Space and Intelligence Systems,USA,Proton M,Proton,45.6,63.4
Baikonur Cosmodrome,Resurs-P3,NR (6/16),Canada,Russian Federal Space Agency (Roskosmos),Commercial/Government,Earth Observation,LEO,469,472,471,12.47,5900,13-Mar-16,TsSKB Progress (State Research & Production Space Rocket Center),Russia,Soyuz 2-1b,Soyuz,45.6,63.4
Baikonur Cosmodrome,Resurs-P2,Russia,Canada,Russian Federal Space Agency (Roskosmos),Commercial/Government,Earth Observation/Communications/Space Science,LEO,461,472,467,12.47,5900,26-Dec-14,TsSKB Progress (State Research & Production Space Rocket Center),Russia,Soyuz 2-1b,Soyuz,45.6,63.4
Baikonur Cosmodrome,Resurs-P1,Russia,Canada,Russian Federal Space Agency (Roskosmos),Commercial/Government,Earth Observation,LEO,459,472,466,12.47,5900,25-Jun-13,TsSKB Progress (State Research & Production Space Rocket Center),Russia,Soyuz-2.1b,Soyuz,45.6,63.4
Guiana Space Center,Eutelsat 8 West B,NR,USA,Eutelsat S.A./Nilesat,Commercial,Communications,GEO,35773,35814,35794,47.79,5800,20-Aug-15,Thales Alenia Space,France/Italy,Ariane 5,Ariane,5.2079,-52.7724
Guiana Space Center,Measat 3B (Malaysia East Asia Sat 3B),Malaysia,USA,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,GEO,35772,35802,35787,47.79,5800,11-Sep-14,Airbus Defence and Space,France/Germany,Ariane 5 ECA,Ariane,5.2079,-52.7724
Tanegashima Space Center,"Kiku-8 (ETS-8, Engineering Test Satellite 8)",Japan,USA,National Institute of Information and Communications Technology (NICT),Government,Technology Development,GEO,35778,35792,35785,47.79,5800,18-Dec-06,Mitsubishi Electric,Japan,H2A,Other,30.4,131
Baikonur Cosmodrome,Sirius FM-5,USA,USA,Sirius XM Holdings,Commercial,Communications,GEO,35774,35798,35786,47.79,5800,30-Jun-09,Space Systems/Loral,USA,Proton M,Proton,45.6,63.4
Guiana Space Center,Astra 5B,Luxembourg,USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,35787,35793,35790,47.79,5724,22-Mar-14,EADS Astrium,France,Ariane 5 ECA,Ariane,5.2079,-52.7724
Baikonur Cosmodrome,Express-AM7,Russia,USA,Russian Satellite Communications Company (Intersputnik),Commercial,Communications,GEO,35777,35796,35787,47.79,5720,18-Mar-15,Airbus Defense and Space,France/Germany/Spain/UK,Proton M,Proton,45.6,63.4
Guiana Space Center,Star One C4,NR (6/16),USA,Star One (SES [Soci_t_ Europ_enne des Satellites (SES)]),Commercial,Communications,GEO,35786,35801,35794,47.79,5634,15-Jul-15,Space Systems/Loral,USA,Ariane 5 ECA,Ariane,5.2079,-52.7724
Cape Canaveral,Intelsat 14 (IS-14),USA,USA,"Intelsat, S.A.",Commercial,Communications,GEO,35771,35800,35786,47.79,5613,23-Nov-09,Space Systems/Loral,USA,Atlas,Atlas,28.5,-81
Sea Launch (Odyssey),Intelsat 19 (IS-19),USA,USA,"Intelsat, S.A.",Commercial,Communications,GEO,35768,35801,35785,47.78,5600,01-Jun-12,Space Systems/Loral,USA,Zenit,Other,-27,-125
Baikonur Cosmodrome,Eutelsat 36B (Eutelsat W-7),France,USA,Eutelsat S.A.,Commercial,Communications,GEO,35786,35787,35787,47.79,5600,24-Nov-09,Thales Alenia Space,France,Breeze M,Other,45.6,63.4
Baikonur Cosmodrome,Ciel-2,Canada,USA,Ciel Satellite Group,Commercial,Communications,GEO,35782,35788,35785,47.79,5585,10-Dec-08,Thales Alenia Space,France,Proton M,Proton,45.6,63.4
Baikonur Cosmodrome,Intelsat 10-02 (Thor 4),USA,USA,"Intelsat, S.A.",Commercial,Communications,GEO,35783,35789,35786,47.79,5576,16-Jun-04,EADS Astrium,France/Germany/Spain/UK,Proton,Proton,45.6,63.4
Guiana Space Center,Intelsat 17 (IS-17),USA,USA,"Intelsat, S.A.",Commercial,Communications,GEO,35770,35804,35787,47.79,5540,26-Nov-10,Space Systems/Loral,USA,Ariane 5,Ariane,5.2079,-52.7724
Baikonur Cosmodrome,Echostar 15,USA,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,35789,35803,35796,47.8,5521,10-Jul-10,Space Systems/Loral,USA,Proton M,Proton,45.6,63.4
Baikonur Cosmodrome,QuetzSat-1,United Kingdom,USA,SES World Skies (SES [Soci_t_ Europ_enne des Satellites (SES)]) -- total capacity leased to subsidiary of EchoStar Corp. ,Commercial,Communications,GEO,35774,35798,35786,47.79,5514,29-Sep-11,Space Systems/Loral,USA,Proton M,Proton,45.6,63.4
Guiana Space Center,Badr 7 (Arabsat 6B),NR (6/16),USA,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,35768,35817,35793,47.79,5500,10-Nov-15,Airbus Defense and Space,France/Germany/Spain/UK,Ariane 5,Ariane,5.2079,-52.7724
Guiana Space Center,DirecTV-9S,USA,USA,"DirecTV, Inc.",Commercial,Communications,GEO,35774,35798,35786,47.79,5500,13-Oct-06,Space Systems/Loral,USA,Ariane 5 ECA,Ariane,5.2079,-52.7724
Guiana Space Center,DirecTV-15,NR,USA,"DirecTV, Inc.",Commercial,Communications,GEO,35685,35809,35747,47.75,5500,27-May-15,Airbus Defense and Space,France/Germany,Ariane 5 ECA,Ariane,5.2079,-52.7724
Cape Canaveral,Eutelsat 117 West B,NR (6/16),USA,Eutelsat Americas,Commercial,Communications,GEO,35779,35795,35787,47.79,5500,15-Jun-16,Boeing Satellite Systems,USA,Falcon 9,Falcon,28.5,-81
Sea Launch (Odyssey),Echostar 11,USA,USA,"Echostar Technologies, LLC",Commercial,Communications,GEO,35778,35793,35786,47.79,5500,16-Jul-08,Space Systems/Loral,USA,Zenit 3SL,Other,-27,-125
Sea Launch (Odyssey),"Galaxy-28 (G-28, Intelsat IA-8, Telstar 8)",USA,USA,"Intelsat, Ltd.",Commercial,Communications,GEO,35775,35798,35787,47.79,5493,23-Jun-05,Space Systems/Loral,USA,Zenit 3SL,Other,-27,-125
Sea Launch (Odyssey),DirecTV-7S ,USA,USA,"DirecTV, Inc. ",Commercial,Communications,GEO,35774,35797,35786,47.79,5483,04-May-04,Space Systems/Loral,USA,Zenit 3SL,Other,-27,-125
Baikonur Cosmodrome,"Eutelsat 117 West A (Eutelsat 8 West C, Satmex 8)",Mexico,USA,Eutelsat Americas,Commercial,Communications,GEO,35779,35795,35787,47.79,5474,26-Mar-13,Space Systems/Loral,USA,Proton M,Proton,45.6,63.4
Guiana Space Center,Astra 3B,Luxembourg,USA,SES (Soci_t_ Europ_enne des Satellites (SES)),Commercial,Communications,GEO,35768,35806,35787,47.79,5471,21-May-10,EADS Astrium,France/Germany/Spain/UK,Ariane 5 ECA,Ariane,5.2079,-52.7724
Guiana Space Center,Amazonas-2,Brazil,USA,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,35767,35805,35786,47.79,5465,01-Oct-09,EADS Astrium,France/Germany/Spain/UK,Ariane 5,Ariane,5.2079,-52.7724
Sea Launch (Odyssey),INMARSAT 4 F2,United Kingdom,USA,"INMARSAT, Ltd.",Commercial,Communications,GEO,35773,35800,35787,47.79,5458,08-Nov-05,EADS Astrium,France/Germany/UK,Zenit 3SL,Other,-27,-125
Guiana Space Center,Eutelsat 113 West-A (Satmex 6),Mexico,USA,Eutelsat Americas,Commercial,Communications,GEO,35776,35796,35786,47.79,5456,27-May-06,Space Systems/Loral,USA,Ariane 5 ECA,Ariane,5.2079,-52.7724
Baikonur Cosmodrome,Badr 5 (Arabsat 5B),NR,USA,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,35834,35883,35859,47.86,5420,03-Jun-10,EADS Astrium,France/Germany/Spain/UK,Proton,Proton,45.6,63.4
Baikonur Cosmodrome,Eutelsat 7B ,France,USA,Eutelsat S.A.,Commercial,Communications,GEO,35784,35794,35789,47.79,5404,14-May-13,Thales Alenia Space,France,Proton M,Proton,45.6,63.4
